,prefecture,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
31,Okinawa,1106559,1120700,1135022,1149527,1164218,1179097,1187632,1196230,1204889,1213612,1222398,1232440,1242564,1252772,1263063,1273440,1282272,1291166,1300122,1309139,1318220,1326782,1335401,1344075,1352806,1361594,1367782,1373998,1380243,1386516,1392818,1400985,1409201,1417464,1425777,1434138,1440745,1447382,1454051,1460750,1477753.344152568,1486139.5671745215,1495084.8566733124,1504710.8329993347,1507743.8455278429,1516130.0685500712,1525075.358048813,1534701.334374005,1537734.346901854,1546120.5699247688,1555065.8594232071
32,Saga,865574,868442,871320,874208,877106,880013,879580,879147,878715,878282,877851,879140,880431,881724,883019,884316,882778,881243,879710,878181,876654,874587,872525,870468,868416,866369,863027,859698,856381,853078,849788,846453,843131,839823,836527,833245,828838,824454,820093,815756,809378.0183095678,806070.9904466544,803092.1939419699,800514.064286295,794088.6180857607,790781.5902230105,787802.793718296,785224.6640621277,778799.2178612001,775492.1899988593,772513.3934939639
33,Saitama,5420480,5506355,5593590,5682208,5772230,5863678,5968212,6074609,6182904,6293128,6405319,6474602,6544634,6615425,6686981,6759311,6794677,6830229,6865967,6901893,6938006,6961099,6984269,7007516,7030840,7054243,7082084,7110036,7138098,7166271,7194556,7207849,7221168,7234511,7247878,7261271,7277893,7294554,7311252,7327989,7352987.158434706,7364251.991954353,7372957.687081489,7378496.513225351,7412956.027379606,7424220.8608978735,7432926.556025229,7438465.382173253,7472924.896330748,7484189.729845636,7492895.42497451
34,Shiga,1079898,1094677,1109658,1124844,1140239,1155844,1168860,1182024,1195336,1208797,1222411,1235065,1247850,1260767,1273818,1287005,1297981,1309051,1320216,1331476,1342832,1350255,1357719,1365225,1372772,1380361,1386391,1392447,1398530,1404640,1410777,1411258,1411739,1412220,1412702,1413183,1413269,1413354,1413439,1413524,1414823.2240599804,1415944.5125841345,1417712.0015728439,1420295.8010074142,1415956.9507292141,1417078.2392537522,1418845.7282423924,1421429.527675804,1417090.6773966905,1418211.9659221778,1419979.4549103978
35,Shimane,784795,786752,788713,790680,792652,794629,791888,789157,786436,783723,781021,779095,777174,775258,773347,771440,769443,767450,765462,763480,761502,757607,753731,749875,746039,742223,737190,732191,727226,722294,717397,712693,708021,703380,698768,694188,689513,684869,680257,675676,666248.7920721844,661324.3418601567,656179.8766198533,650759.1278242558,647739.3500228084,642814.8998106525,637670.4345703688,632249.6857751571,629229.9079740077,624305.457761541,619160.9925213979
36,Shizuoka,3446804,3472010,3497400,3522977,3548740,3574692,3593717,3612845,3632074,3651405,3670840,3684113,3697434,3710804,3724222,3737689,3743611,3749542,3755483,3761433,3767393,3772376,3777366,3782363,3787366,3792376,3786887,3781405,3775931,3770465,3765007,3752154,3739345,3726580,3713859,3701180,3687484,3673838,3660242,3646697,3621640.7923903354,3609751.5280133444,3598874.642166278,3589279.911906281,3568908.7447386496,3557019.480362267,3546142.5945150848,3536547.8642532527,3516176.6970841675,3504287.4327092934,3493410.546861448
37,Tochigi,1792201,1806736,1821389,1836161,1851053,1866066,1879686,1893405,1907225,1921145,1935168,1944913,1954708,1964552,1974446,1984390,1988458,1992535,1996621,2000714,2004817,2007174,2009534,2011897,2014262,2016631,2014838,2013047,2011257,2009469,2007683,2001036,1994412,1987810,1981229,1974670,1966295,1957955,1949650,1941380,1928667.8386326132,1922667.9435259798,1917762.4239377368,1914234.1244579281,1898841.7576504343,1892841.862544439,1887936.342956081,1884408.043474345,1869015.6766653312,1863015.781560916,1858110.2619718586
38,Tokushima,825261,827177,829098,831024,832954,834889,834229,833571,832912,832255,831598,831763,831929,832095,832261,832427,830756,829089,827425,825765,824108,821256,818415,815583,812762,809950,804998,800076,795184,790322,785491,779515,773584,767699,761859,756063,748616,741244,733944,726716,715075.6965430878,708969.8857995985,703180.6527621625,697779.4012608769,688722.1596297012,682616.3488863726,676827.1158489074,671425.8643471351,662368.6227155722,656262.8119726463,650473.5789350034
39,Tottori,604221,606563,608914,611275,613645,616024,615963,615903,615842,615782,615722,615563,615404,615246,615087,614929,614600,614272,613944,613616,613289,612028,610770,609515,608262,607012,603297,599606,595937,592291,588667,585632,582612,579609,576620,573648,654313,746321,851268,970971,651853.9414547249,632302.7941123877,605924.3774573592,572766.4558059924,660594.2115389623,641043.0641966735,614664.6475415488,581506.7258899836,669334.4816230494,649783.3342805501,623404.9176255579
40,Toyama,1103459,1106425,1109398,1112380,1115370,1118369,1118727,1119085,1119443,1119802,1120161,1120753,1121345,1121938,1122531,1123125,1122669,1122214,1121760,1121305,1120851,1119020,1117193,1115368,1113547,1111729,1108007,1104298,1100602,1096918,1093247,1087922,1082624,1077351,1072104,1066883,1062803,1058740,1054691,1050659,1039795.781460527,1034360.1227436251,1028386.8465183293,1021743.9305104257,1021106.9394960183,1015671.2807788162,1009698.004553569,1003055.0885465693,1002418.0975328649,996982.4388149299,991009.1625900118
41,Tokyo,11618281,11660193,11702258,11744473,11786842,11829363,11834598,11839836,11845076,11850318,11855563,11839125,11822711,11806319,11789951,11773605,11831139,11888954,11947052,12005433,12064101,12164902,12266546,12369038,12472388,12576601,12691056,12806552,12923100,13040709,13159388,13229505,13299997,13370864,13442109,13513734,13507314,13500897,13494483,13488072,13645451.571642,13696193.83629392,13753506.174788779,13817878.67255251,13785239.90722438,13835982.171877427,13893294.510372113,13957667.008132441,13925028.242801422,13975770.507457532,14033082.845950859
42,Wakayama,1087012,1087050,1087089,1087128,1087167,1087206,1084617,1082035,1079458,1076888,1074325,1075544,1076764,1077986,1079210,1080435,1078322,1076213,1074108,1072008,1069912,1063035,1056203,1049415,1042670,1035969,1029124,1022326,1015572,1008862,1002198,994408,986679,979009,971400,963850,955451,947126,938874,930693,915452.8946152057,907906.3392102831,900685.7145759524,893877.6788518529,883589.1799173593,876042.6245126316,868821.9998782646,862013.9641535755,851725.4652186151,844178.9098143722,836958.2851797917
43,Yamagata,1251917,1253859,1255805,1257754,1259706,1261662,1261006,1260352,1259697,1259043,1258390,1258103,1257817,1257530,1257244,1256958,1254385,1251817,1249255,1246698,1244147,1238502,1232884,1227291,1221723,1216181,1206579,1197053,1187602,1178226,1168924,1159582,1150315,1141122,1132003,1122957,1111749,1100653,1089668,1078793,1060681.0638605077,1051222.764507219,1042113.3278813428,1033419.1874083362,1020401.4716591337,1010943.1723059946,1001833.7356800907,993139.595206631,980121.8794570647,970663.5801043048,961554.1434782343
44,Yamaguchi,1587079,1589977,1592882,1595791,1598706,1601627,1595782,1589958,1584156,1578375,1572616,1569186,1565764,1562349,1558942,1555543,1549987,1544452,1538936,1533440,1527964,1520826,1513721,1506649,1499611,1492606,1484259,1475959,1467706,1459499,1451338,1441951,1432625,1423359,1414153,1405007,1392185,1379481,1366892,1354418,1336364.8201072447,1326416.928025475,1316975.3925070206,1308129.279803133,1292863.1608262272,1282915.268744659,1273473.733226167,1264627.6205216716,1249361.5015442756,1239413.6094632186,1229972.0739445016
45,Yamanashi,804256,809891,815566,821281,827036,832832,836820,840827,844854,848900,852966,858694,864461,870267,876112,881996,883227,884461,885696,886933,888172,887439,886707,885975,885245,884515,880184,875875,871587,867321,863075,857419,851800,846219,840673,835165,830064,824995,819957,814950,803489.3022747411,797449.3381165758,790860.3882266041,783579.6711353115,782243.8871322613,776203.9229737722,769614.9730838543,762334.2559935376,760998.4719912477,754958.5078319665,748369.5579424031
46,Oita,1228913,1233143,1237389,1241649,1245924,1250214,1247548,1244888,1242233,1239585,1236942,1235812,1234684,1233557,1232431,1231306,1229266,1227229,1225196,1223166,1221140,1218817,1216499,1214185,1211875,1209571,1206951,1204337,1201728,1199126,1196529,1190508,1184518,1178558,1172629,1166729,1158024,1149385,1140810,1132299,1120576.4230298358,1114164.9605670953,1108292.8219920876,1103074.9005256055,1091487.6379626843,1085076.1755002032,1079204.0369251485,1073986.1154578826,1062398.8528943378,1055987.390432506,1050115.2518571639
47,Osaka,8473446,8512022,8550775,8589704,8628810,8668095,8681338,8694602,8707886,8721191,8734516,8747030,8759562,8772113,8784681,8797268,8798830,8800392,8801954,8803517,8805081,8807496,8809913,8812330,8814747,8817166,8826760,8836366,8845982,8855608,8865245,8859971,8854700,8849433,8844169,8838908,8838663,8838418,8838174,8837929,8825317.847244075,8817533.549194647,8806066.621415466,8789968.521774482,8814149.1436668,8806364.84561522,8794897.917836385,8778799.81820189,8802980.440099252,8795196.142042419,8783729.214265943
